OPT__FLU_INT_SCHEME,OPT__INT_PHASE,VorPairLin_kx,OPT__REF_FLU_INT_SCHEME,Mean_L1_Error
6,0,1,6,0.0005846025486389832
6,0,3,6,0.002026335174578171
6,0,5,6,0.0051942423577016625
6,0,7,6,0.010519053911889068
6,0,9,6,0.018077601488654876
6,0,11,6,0.0279839489056618
6,0,13,6,0.03979124579400764
6,0,15,6,0.05336265716016133
6,0,17,6,0.06812476440069687
6,0,19,6,0.08308339716523738
6,0,21,6,0.09784220335453654
6,0,23,6,0.11190884415558508
6,0,25,6,0.12599065616184982
6,0,27,6,0.14029704485167122
6,0,29,6,0.15652975250931772
6,0,31,6,0.1775848084427355
6,0,33,6,0.20395349397920243
6,0,35,6,0.23732147491776961
6,0,37,6,0.27639610097195966
6,0,39,6,0.31955519073525085
6,0,41,6,0.36623492874274716
6,0,43,6,0.4137965221667927
6,0,45,6,0.4494016292313705
6,0,47,6,0.4815045726525752
6,0,49,6,0.5141743238928733
6,0,51,6,0.5506790201008804
6,0,53,6,0.5945937898823197
6,0,55,6,0.646420306004241
6,0,57,6,0.698947990045794
6,0,59,6,0.7504405885847152
6,1,1,6,0.000634094648192473
6,1,3,6,0.0017849269708274961
6,1,5,6,0.0044435253676744935
6,1,7,6,0.00855237885725411
6,1,9,6,0.013998260863289503
6,1,11,6,0.020754468820054894
6,1,13,6,0.028926311507184888
6,1,15,6,0.03802236678158037
6,1,17,6,0.04833445041247711
6,1,19,6,0.0605015596470509
6,1,21,6,0.076212250483902
6,1,23,6,0.09824458779260059
6,1,25,6,0.11486148087258233
6,1,27,6,0.13224719089608136
6,1,29,6,0.15318348680322003
6,1,31,6,0.17726518971678756
6,1,33,6,0.20362661252744607
6,1,35,6,0.23379316428938318
6,1,37,6,0.2677636318264016
6,1,39,6,0.30733136588787635
6,1,41,6,0.3510903412852309
6,1,43,6,0.3885919993503033
6,1,45,6,0.4186877319036485
6,1,47,6,0.45130940850316825
6,1,49,6,0.48781488886900337
6,1,51,6,0.5311396842133617
6,1,53,6,0.5821923136199318
6,1,55,6,0.6387053988053732
6,1,57,6,0.694326878868449
6,1,59,6,0.7480993276464732
8,0,1,8,3.63615298013199e-08
8,0,3,8,7.021213934894476e-07
8,0,5,8,9.890711350344357e-06
8,0,7,8,5.0730732429964616e-05
8,0,9,8,0.00017147441584369337
8,0,11,8,0.0007360807504720923
8,0,13,8,0.002005969948095534
8,0,15,8,0.003557213232152837
8,0,17,8,0.0050088318817780725
8,0,19,8,0.01047824902110321
8,0,21,8,0.023042130760379805
8,0,23,8,0.039265231288182476
8,0,25,8,0.03823683591243053
8,0,27,8,0.044556049734587586
8,0,29,8,0.10672995187395534
8,0,31,8,0.1266249366785447
8,0,33,8,0.1324802206033564
8,0,35,8,0.14862608580248515
8,0,37,8,0.17127424257965762
8,0,39,8,0.21517993716876177
8,0,41,8,0.2811209167825123
8,0,43,8,0.33829808558280333
8,0,45,8,0.38925574426373677
8,0,47,8,0.43599239277806445
8,0,49,8,0.4828052944763041
8,0,51,8,0.5328296846120318
8,0,53,8,0.5870752072728326
8,0,55,8,0.6431262093796891
8,0,57,8,0.6973064858559893
8,0,59,8,0.7497024992609721
8,1,1,8,1.4399132175837453e-05
8,1,3,8,0.00011130311692587452
8,1,5,8,0.0006902695173709936
8,1,7,8,0.0017220751587476552
8,1,9,8,0.0033883248258575103
8,1,11,8,0.00688881107722761
8,1,13,8,0.010928544355039739
8,1,15,8,0.02005495544822835
8,1,17,8,0.031040206826214937
8,1,19,8,0.0402458063261948
8,1,21,8,0.054365738849290156
8,1,23,8,0.07780001697904
8,1,25,8,0.10376063084681278
8,1,27,8,0.13927619479477893
8,1,29,8,0.15994804862275688
8,1,31,8,0.14230412940845463
8,1,33,8,0.1276749541112498
8,1,35,8,0.13018557323795027
8,1,37,8,0.12611242779375145
8,1,39,8,0.13899463081461766
8,1,41,8,0.22786396513986945
8,1,43,8,0.3129388816891475
8,1,45,8,0.37569766744661554
8,1,47,8,0.426333035170626
8,1,49,8,0.47786335082308845
8,1,51,8,0.5304951115457245
8,1,53,8,0.584931527280751
8,1,55,8,0.642096395934821
8,1,57,8,0.6966480384812868
8,1,59,8,0.749367343367741
