PWave_NWavelength,Error(Dens),Error(Real),Error(Imag),Error(Passive00)
1,8.682290997263918e-15,6.273547263439691e-05,6.273547263445622e-05,9.853463749364285e-05
2,2.3626933742804117e-15,0.0009995523357022008,0.0009995523357021275,0.0015750354819659591
3,1.0588752097362432e-14,0.005068966110692255,0.00506896611069214,0.007960820173920689
4,1.011690731189674e-14,0.016082919381324494,0.016082919381324324,0.025103611965201025
5,1.433228535852038e-14,0.03891345544128813,0.03891345544128803,0.061111181371889874
6,2.2898349882893854e-15,0.08041436306694151,0.08041436306694154,0.1262731018451905
7,2.116362640691705e-15,0.14802912763886517,0.14802912763886514,0.4147506640949715
8,4.1321113197767545e-15,0.2516951719831193,0.2516951719831194,1.0820301938799932
9,2.8033131371785207e-15,0.3946704328180561,0.39467043281805614,1.1009834593070225
10,2.8553548414578245e-15,0.585718583123958,0.5857185831239581,1.5012532337378557
11,3.2092384305570927e-15,0.8145919850104456,0.8145919850104457,2.1552054881690608
12,9.601694439531629e-15,1.041986375597695,1.0419863755976948,2.6952337789107155
13,1.0137723993608459e-14,1.2372694748224726,1.2372694748224722,3.0672856363994394
14,7.100223187173072e-15,1.2433477469869323,1.2433477469869323,3.0899464678744666
15,1.1737139038459075e-14,0.9316971182740651,0.9316971182740648,2.4388713440335112
16,1.0422218643668655e-14,0.23287024420617583,0.2328702442061756,0.3355920577154595
17,1.8889403929911446e-14,0.7276045065232993,0.7276045065232993,1.9381149768281916
18,5.0428411446645774e-15,1.2722004049308993,1.2722004049308997,3.1350095438998724
19,7.030834248133999e-15,0.6843716233069668,0.6843716233069672,1.8871235537632425
20,3.236994006172722e-15,0.764783103494808,0.7647831034948077,1.9865259585841792
21,4.185887747532036e-15,1.1409654845531387,1.1409654845531387,2.883449505606954
22,6.862566070964249e-15,0.5553953756478838,0.5553953756478827,1.4618765947933787
23,5.767955557622884e-15,1.0265391051231838,1.0265391051231816,2.6270307630830927
24,3.568326190084292e-15,1.0810474629471936,1.0810474629471936,2.8640231102720257
25,5.988265439071938e-15,0.04625083953704357,0.046250839537043446,0.07264248419712308
26,5.906733435701028e-15,0.8456438905920379,0.845643890592038,2.2964031623559658
27,1.0044048925905711e-14,1.213701451568114,1.213701451568113,3.0260576827554138
28,5.873773689657469e-15,1.2814509982828572,1.2814509982828588,3.1415926535897927
29,8.543513119185777e-15,1.2708805494480773,1.2708805494480753,3.133242688438697
30,7.94850296692573e-15,1.268216862570323,1.268216862570324,3.1284525727148447
31,6.682154829462661e-15,1.1046255113730357,1.1046255113730332,2.8158608942508576
32,6.961445309094928e-15,0.699794044068623,0.28565533816899175,0.7751091413687918
33,4.576200529626817e-15,0.6341848520340653,0.6341848520340657,1.6983575747924662
34,9.081277396738584e-15,1.2682168625703287,1.2682168625703285,3.1284525727148487
35,1.0092621183233064e-14,0.08502096428859837,0.0850209642885991,0.321599018115928
36,7.398595625041082e-15,1.2814509982828577,1.281450998282859,3.141592653589795
37,1.184469189396964e-14,0.38623183258546656,0.3862318325854652,1.0897001628302343
38,7.124509315836747e-15,0.8456438905921202,0.8456438905921205,2.296403162356049
39,8.406469964583607e-15,1.2728226387126234,1.2728226387126236,3.141592653589792
